Ημερομηνία,Ημέρα,Ώρα,Τμήμα,Εβδομάδα,Θέμα Εβδομάδας,Θεωρία,Πράξη / Ρόλος Συνεδρίας,Moodle,Milestone
2026-09-29,Τρίτη,10:55-11:40,Α5 Ομάδα 2,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-09-29,Τρίτη,12:40-13:25,Α4 Ομάδα 2,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-09-30,Τετάρτη,10:00-10:45,Α2 Ομάδα 2,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-09-30,Τετάρτη,10:55-11:40,Α5 Ομάδα 1,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-10-01,Πέμπτη,10:55-11:40,Α3 Ομάδα 1,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-10-01,Πέμπτη,12:40-13:25,Α2 Ομάδα 1,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-10-02,Παρασκευή,10:00-10:45,Α4 Ομάδα 1,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-10-02,Παρασκευή,12:40-13:25,Α1 Ομάδα 1,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση)",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
2026-10-05,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),🔧 HANDS-ON LEAD: frame assembly + τοποθέτηση 4 motors (14β στάδια 1-3),Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-06,Τρίτη,10:55-11:40,Α5 Ομάδα 2,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-06,Τρίτη,12:40-13:25,Α4 Ομάδα 2,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-07,Τετάρτη,10:00-10:45,Α2 Ομάδα 2,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-07,Τετάρτη,10:55-11:40,Α5 Ομάδα 1,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-08,Πέμπτη,10:55-11:40,Α3 Ομάδα 1,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-08,Πέμπτη,12:40-13:25,Α2 Ομάδα 1,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-09,Παρασκευή,10:00-10:45,Α4 Ομάδα 1,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-09,Παρασκευή,12:40-13:25,Α1 Ομάδα 1,W3,Frame + Motor mounting,Μέρη ενός drone συνοπτικά (Κεφ.4),👀 Θεωρία + παρακολούθηση προόδου (φωτο) + Moodle,Φωτογραφία προόδου build,"Frame συναρμολογημένο, 4 motors τοποθετημένα"
2026-10-12,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-13,Τρίτη,10:55-11:40,Α5 Ομάδα 2,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,🔧 HANDS-ON LEAD: κόλληση motor wires στο ESC (14β στάδιο 4),Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-13,Τρίτη,12:40-13:25,Α4 Ομάδα 2,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-14,Τετάρτη,10:00-10:45,Α2 Ομάδα 2,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-14,Τετάρτη,10:55-11:40,Α5 Ομάδα 1,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-15,Πέμπτη,10:55-11:40,Α3 Ομάδα 1,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-15,Πέμπτη,12:40-13:25,Α2 Ομάδα 1,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-16,Παρασκευή,10:00-10:45,Α4 Ομάδα 1,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-16,Παρασκευή,12:40-13:25,Α1 Ομάδα 1,W4,Motor → ESC wiring,Επανάληψη κόλλησης σε καλώδια (πιο σύνθετο από LED)· wire gauge πίνακας,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φωτο κολλήσεων + self-check λίστα,4 motors συνδεδεμένα στο ESC
2026-10-19,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-20,Τρίτη,10:55-11:40,Α5 Ομάδα 2,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-20,Τρίτη,12:40-13:25,Α4 Ομάδα 2,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,🔧 HANDS-ON LEAD: FC mounting + FC↔ESC wiring + battery pad/capacitor (14β στάδια 5-7),Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-21,Τετάρτη,10:00-10:45,Α2 Ομάδα 2,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-21,Τετάρτη,10:55-11:40,Α5 Ομάδα 1,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-22,Πέμπτη,10:55-11:40,Α3 Ομάδα 1,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-22,Πέμπτη,12:40-13:25,Α2 Ομάδα 1,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-23,Παρασκευή,10:00-10:45,Α4 Ομάδα 1,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-23,Παρασκευή,12:40-13:25,Α1 Ομάδα 1,W5,FC mounting + FC↔ESC + Battery pad,ΛιPo ασφάλεια πλήρης (Κεφ.5) — ΥΠΟΧΡΕΩΤΙΚΗ υπογραφή κανόνων μπαταριών,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Quiz LiPo + ψηφιακή υπογραφή κανόνων μπαταριών,"FC τοποθετημένος, battery pad + capacitor έτοιμα"
2026-10-26,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W6,Receiver + Camera/VTX + LEDs + GPS wiring,Ραδιοεπικοινωνία/bind (Κεφ.8) + τι κάνει το GPS Rescue,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φύλλο ελέγχου καλωδίωσης,"Όλα τα ηλεκτρονικά συνδεδεμένα (RX, cam, VTX, LED, GPS)"
2026-10-27,Τρίτη,10:55-11:40,Α5 Ομάδα 2,W6,Receiver + Camera/VTX + LEDs + GPS wiring,Ραδιοεπικοινωνία/bind (Κεφ.8) + τι κάνει το GPS Rescue,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φύλλο ελέγχου καλωδίωσης,"Όλα τα ηλεκτρονικά συνδεδεμένα (RX, cam, VTX, LED, GPS)"
2026-10-27,Τρίτη,12:40-13:25,Α4 Ομάδα 2,W6,Receiver + Camera/VTX + LEDs + GPS wiring,Ραδιοεπικοινωνία/bind (Κεφ.8) + τι κάνει το GPS Rescue,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φύλλο ελέγχου καλωδίωσης,"Όλα τα ηλεκτρονικά συνδεδεμένα (RX, cam, VTX, LED, GPS)"
2026-10-28,Τετάρτη,10:00-10:45,Α2 Ομάδα 2,W6,ΑΡΓΙΑ (28η Οκτωβρίου),—,"⚠ ΔΕΝ ΓΙΝΕΤΑΙ ΜΑΘΗΜΑ — εθνική αργία. Αναπλήρωση μέσω Moodle (upload θεωρίας + quiz W6 self-paced)",Αναπλήρωση: quiz W6 + φωτο προόδου self-study,—
2026-10-28,Τετάρτη,10:55-11:40,Α5 Ομάδα 1,W6,ΑΡΓΙΑ (28η Οκτωβρίου),—,"⚠ ΔΕΝ ΓΙΝΕΤΑΙ ΜΑΘΗΜΑ — εθνική αργία. HANDS-ON LEAD μεταφέρεται σε αυτή την ομάδα την επόμενη διαθέσιμη φορά",Αναπλήρωση: quiz W6 + φωτο προόδου self-study,—
2026-10-29,Πέμπτη,10:55-11:40,Α3 Ομάδα 1,W6,Receiver + Camera/VTX + LEDs + GPS wiring,Ραδιοεπικοινωνία/bind (Κεφ.8) + τι κάνει το GPS Rescue,🔧 HANDS-ON LEAD: receiver + camera/VTX + LEDs/buzzer + GPS wiring (14β στάδια 8-10 + GPS M10Q),Φύλλο ελέγχου καλωδίωσης,"Όλα τα ηλεκτρονικά συνδεδεμένα (RX, cam, VTX, LED, GPS)"
2026-10-29,Πέμπτη,12:40-13:25,Α2 Ομάδα 1,W6,Receiver + Camera/VTX + LEDs + GPS wiring,Ραδιοεπικοινωνία/bind (Κεφ.8) + τι κάνει το GPS Rescue,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φύλλο ελέγχου καλωδίωσης,"Όλα τα ηλεκτρονικά συνδεδεμένα (RX, cam, VTX, LED, GPS)"
2026-10-30,Παρασκευή,10:00-10:45,Α4 Ομάδα 1,W6,Receiver + Camera/VTX + LEDs + GPS wiring,Ραδιοεπικοινωνία/bind (Κεφ.8) + τι κάνει το GPS Rescue,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φύλλο ελέγχου καλωδίωσης,"Όλα τα ηλεκτρονικά συνδεδεμένα (RX, cam, VTX, LED, GPS)"
2026-10-30,Παρασκευή,12:40-13:25,Α1 Ομάδα 1,W6,Receiver + Camera/VTX + LEDs + GPS wiring,Ραδιοεπικοινωνία/bind (Κεφ.8) + τι κάνει το GPS Rescue,👀 Θεωρία + παρακολούθηση προόδου + Moodle,Φύλλο ελέγχου καλωδίωσης,"Όλα τα ηλεκτρονικά συνδεδεμένα (RX, cam, VTX, LED, GPS)"
2026-11-02,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-03,Τρίτη,10:55-11:40,Α5 Ομάδα 2,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-03,Τρίτη,12:40-13:25,Α4 Ομάδα 2,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-04,Τετάρτη,10:00-10:45,Α2 Ομάδα 2,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-04,Τετάρτη,10:55-11:40,Α5 Ομάδα 1,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-05,Πέμπτη,10:55-11:40,Α3 Ομάδα 1,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)","🔧 HANDS-ON LEAD (μέρος Α): tidy-up/antenna + bind (14β στάδια 11-12)",Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-05,Πέμπτη,12:40-13:25,Α2 Ομάδα 1,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)","🔧 HANDS-ON LEAD (μέρος Β): πλήρης έλεγχος πολυμέτρου (8 σημεία) + πρώτο power-on με smoke stopper",Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-06,Παρασκευή,10:00-10:45,Α4 Ομάδα 1,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-06,Παρασκευή,12:40-13:25,Α1 Ομάδα 1,W7,"Tidy-up, Bind, 8 έλεγχοι πολυμέτρου, πρώτο power-on ⭐⭐","14β.9 (8 έλεγχοι πολυμέτρου) + 14β.10 (smoke stopper)",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Υπογεγραμμένο checklist 8 σημείων ανά ομάδα,⭐⭐ ΚΡΙΣΙΜΟ: πρώτο ασφαλές power-on επιτυχές
2026-11-09,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W8,Betaflight + GPS Rescue + Props + πρώτη πτήση,"14β.12 Betaflight setup, GPS Rescue config, 14β.13-14 prop install/balance",👀 Θεωρία + παρακολούθηση προόδου + Moodle,Βίντεο πρώτης πτήσης (hover χωρίς payload),Πρώτη επιτυχής πτήση
